term,frequency,associated_entries,entry_types
Carrier,7,Albinism; Diphtheria; Genetic testing; Hepatitis B; Salmonella food poisoning; Throat culture; X-linked agammaglobulinemia,Diagnostic Test; Disease/Disorder; Disease/Condition
Chemotherapy,7,"(accessed August 15, 2013).; Antiangiogenic therapy; Antiemetics; Bone sarcoma; Immunologic therapies; Pancreatic cancer, endocrine; Soft tissue sarcoma",Drug/Medication; Cancer/Oncological; Disease/Condition
Chronic,7,enzyme inhibitors; Anticonvulsant drugs; Antiparkinson drugs; Benzodiazepines; Bronchitis; Hepatitis B; Reiter’s syndrome,Disease/Disorder; Drug/Medication; Disease/Condition
Cyst,7,Echinococcosis; Goiter; Oligomenorrhea; Oophorectomy; Parathyroid scan; Polycystic kidney disease; Toxoplasmosis,Diagnostic Test; Disease/Disorder; Disease/Condition; Surgical Procedure
Edema,7,Heart valve repair; Marijuana; Protein-energy malnutrition; Pulmonary edema; Restrictive cardiomyopathy; Reye syndrome; Varicose veins,Disease/Disorder; Nutrition/Diet; Disease/Condition
Lymphocyte,7,Epstein-Barr virus; (HLA) test; Lymphocytopenia; Sore throat; Swollen glands; Thymoma; Whiplash,Diagnostic Test; Disease/Disorder; Disease/Condition
Anaphylaxis,6,Allergic rhinitis; Allergy tests; vomiting; Bites and stings; used without a doctor’s approval.; Third-spacing,Diagnostic Test; Disease/Condition
Ascites,6,Laparoscopy; taken.; Peritonitis; Protein-energy malnutrition; Schistosomiasis; Third-spacing,Nutrition/Diet; Disease/Condition; Surgical Procedure
Aspiration,6,Amyotrophic lateral sclerosis; Chlamydial pneumonia; Heimlich maneuver; Hydrocelectomy; Lymphogranuloma venereum; Tumor removal,Cancer/Oncological; Disease/Condition; Surgical Procedure
Atrophy,6,Keloids; Optic atrophy; Optic neuritis; oligohydramnios; Postpolio syndrome; Reflex sympathetic dystrophy,Disease/Disorder; Disease/Condition
Cholesterol,6,Atherosclerosis; Low-carbohydrate diets; acids; Rickets; Senior nutrition; Steroids,Disease/Disorder; Nutrition/Diet; Disease/Condition
Contrast agent,6,Esophageal pouches; Esophageal spasm; Karl Finley; Intravenous urography; Myelography; the kidney to produce more urine) to decrease swelling.,Disease/Disorder; Disease/Condition
Dietary supplement,6,Antioxidants; Appetite suppressant drugs; acids; Vitamin E; Vitamin K; Purpose,Drug/Medication; Nutrition/Diet; Disease/Condition
Endometriosis,6,Dysmenorrhea; Infertility drugs; Laparoscopy; Statistics Reports. 2013. http://www.plasticsurgery.; Oophorectomy; Salpingo-oophorectomy,Drug/Medication; Disease/Condition; Surgical Procedure
Epidemic,6,Chikungunya; Ebola; Emerging diseases; Relapsing fever; Smallpox; Yellow fever,Disease/Disorder; Disease/Condition
Hemoglobin,6,Anemias; Cyanosis; Fecal occult blood test; Haptoglobin test; Hematocrit; Iron deficiency anemia,Diagnostic Test; Disease/Disorder; Disease/Condition
