term,frequency,associated_entries,entry_types
Exudate,3,Pleural effusion; Retinopathies; Wound care,Disease/Condition
Fibrosis,3,Peyronie’s disease; Restrictive cardiomyopathy; Silicosis,Disease/Disorder; Disease/Condition
Flora,3,Abscess; Fecal transplant; Stool culture,Disease/Condition
Fluoride,3,Dental sealant; Teeth whitening; Tooth decay,Disease/Condition
Fracture,3,Bone disorder drugs; Mallet finger; Pelvic fracture,Drug/Medication; Disease/Condition
Gene,3,Albinism; Familial polyposis; Situs inversus,Disease/Condition
Gout,3,Anti hyperuricemic drugs; Bursitis; Uric acid tests,Diagnostic Test; Drug/Medication; Disease/Condition
Gram,3,Aminoglycosides; Aminoglycosides; Throat culture,Disease/Condition
Guillain,3,Autoimmune disorders; Lumbar puncture; West Nile virus,Disease/Disorder; Disease/Condition
Hemolytic anemia,3,Fetal hemoglobin test; Haptoglobin test; Pyruvate kinase deficiency,Diagnostic Test; Disease/Disorder
Hydrotherapy,3,Fatigue; Naturopathic medicine; disorders,Disease/Disorder; Disease/Condition
Hyperuricemia,3,Anti hyperuricemic drugs; Gout; Uric acid tests,Diagnostic Test; Drug/Medication; Disease/Condition
Idiopathic,3,Risks; Fanconi’s syndrome; Precocious puberty,Disease/Disorder; Disease/Condition
Immunosuppressant,3,Anemias; Gluten-free diet; Polymyositis,Nutrition/Diet; Disease/Condition
Incontinence,3,Brachytherapy; Prevention; Urinary catheterization,Disease/Disorder; Alternative Therapy; Disease/Condition
Insomnia,3,Risks; Restless legs syndrome; Diseases/SleepApnea/SleepApnea_WhatIs.html.,Disease/Disorder; Disease/Condition
Ischemic,3,Antiangiogenic therapy; Debridement; Ventricular fibrillation,Drug/Medication; Disease/Condition
Laparoscope,3,Adrenalectomy; Pheochromocytoma; Splenic trauma,Disease/Condition; Surgical Procedure
Ligament,3,Immobilization; Osteogenesis imperfecta; Sacroiliac disease,Disease/Disorder; Disease/Condition
Long,3,Anti hyperuricemic drugs; Marijuana; West Nile virus,Drug/Medication; Disease/Condition
Lymph,3,Laryngeal cancer; Lymphogranuloma venereum; Salivary gland tumors,Cancer/Oncological; Disease/Condition
McGraw,3,Intravenous rehydration; Mallet finger; Vocal cord paralysis,Disease/Condition
Meditation,3,Hatha yoga; Tai chi; Yoga,Disease/Condition
Middle ear,3,Cochlear implants; Hearing aids; Myringotomy and ear tubes,Disease/Condition; Surgical Procedure
Mineral,3,Antioxidants; Crohn’s disease; Purpose,Disease/Disorder; Disease/Condition
Motility,3,Esophageal function tests; Gastric emptying scan; Semen analysis,Diagnostic Test; Disease/Condition
Myelography,3,Chemonucleolysis; Paralysis; Sciatica,Disease/Disorder; Disease/Condition
Neurotransmitters,3,Binge eating disorder; Diseases/SleepApnea/SleepApnea_WhatIs.html.; Withdrawal syndromes,Disease/Disorder
Ophthalmoscope,3,Neurological exam; Physical examination; Retinitis pigmentosa,Disease/Condition
Opportunistic infection,3,Emerging diseases; Meningitis; Mucormycosis,Disease/Disorder; Disease/Condition
Orbit,3,Eye muscle surgery; Maxillofacial trauma; Mucormycosis,Disease/Condition; Surgical Procedure
Orthopedist,3,Knee injuries; Mallet finger; Pelvic fracture,Disease/Condition
Osteoarthritis,3,Arthroscopic surgery; digestive tracts.; Ganglion,Disease/Condition; Surgical Procedure
Ostomy,3,Colostomy; Enterostomy; Ileal conduit surgery,Surgical Procedure
Otolaryngologist,3,Jaw wiring; Myringotomy and ear tubes; Parathyroidectomy,Disease/Condition; Surgical Procedure
Otoscope,3,Ear exam with an otoscope; Perforated eardrum; Physical examination,Disease/Condition
Outbreak,3,Chikungunya; Nipah; Whooping cough,Disease/Condition
Ovulation,3,Contraception; Dysmenorrhea; Infertility therapies,Disease/Condition
Palpation,3,Digital rectal examination; Physical examination; Varicose veins,Disease/Condition
Pancreas,3,Adrenalectomy; Lipase test; Organ donation,Diagnostic Test; Disease/Condition; Surgical Procedure
Pancreatitis,3,Endoscopic ultrasound; Lipase test; Peritonitis,Diagnostic Test; Disease/Condition
Parasite,3,Babesiosis; H1N1 influenza A; Janis O. Flores,Disease/Condition
Peritonitis,3,Appendectomy; Appendicitis; Digital rectal examination,Disease/Condition; Surgical Procedure
Pharynx,3,Sore throat; lung disease.; Velopharyngeal insufficiency,Disease/Disorder; Disease/Condition
Phlebitis,3,Buerger’s disease; Thrombophlebitis; Venous access,Disease/Disorder; Disease/Condition
Pituitary gland,3,Adrenalectomy; Goiter; Prolactin test,Diagnostic Test; Disease/Condition; Surgical Procedure
Plasma,3,Blood donation and registry; Hypernatremia; Iron tests,Diagnostic Test; Disease/Condition
Pleural cavity,3,Empyema; Lung biopsy; Pleural effusion,Diagnostic Test; Disease/Condition
Polyp,3,"Digital rectal examination; Sigmoidoscopy; Times (October 22, 2001): A1.",Disease/Condition; Surgical Procedure
Preeclampsia,3,Induction of labor; retardation; Prepregnancy counseling,Disease/Disorder; Disease/Condition
Prodrome,3,Cold sores; Genital herpes; Lymphocytic choriomeningitis,Disease/Condition
Protozoa,3,"Hepatitis, alcoholic; Leishmaniasis; Sleeping sickness",Disease/Condition
Pulmonary embolism,3,Deep vein thrombosis; Hemoptysis; Obesity and surgery,Disease/Condition; Surgical Procedure
Reservoir,3,Ebola; Emerging diseases; Nipah,Disease/Disorder; Disease/Condition
Spasm,3,Antispasmodic drugs; Muscle relaxants; Sciatica,Disease/Disorder; Drug/Medication; Disease/Condition
Stenosis,3,Heart valve repair; Obesity and surgery; Valvular heart disease,Disease/Disorder; Surgical Procedure
Sternum,3,Chest x ray; Heimlich maneuver; SAPHO syndrome,Disease/Disorder; Disease/Condition
Strabismus,3,Amblyopia; Eye muscle surgery; http://www.aafp.org/online/en/home.html.,Disease/Condition; Surgical Procedure
Tendon,3,Fingertip injuries; Immobilization; Mallet finger,Disease/Condition
Thrombophlebitis,3,Appendectomy; Arthroscopy; Venous insufficiency,Disease/Condition; Surgical Procedure
Thrush,3,KOH test; Stomatitis; Throat culture,Diagnostic Test; Disease/Condition
Tolerance,3,Addiction; Caffeine; dependence,Disease/Condition
Tonsils,3,Salivary gland tumors; adenoidectomy; Velopharyngeal insufficiency,Cancer/Oncological; Disease/Condition; Surgical Procedure
Ulcerative colitis,3,Antispasmodic drugs; Fecal transplant; Proctitis,Drug/Medication; Disease/Condition
Uterus,3,Antihelminthic drugs; (hCG) pregnancy test; Placental abruption,Diagnostic Test; Drug/Medication; Disease/Condition
Vaccine,3,Demographics; Hepatitis B; Hepatitis E,Disease/Condition
Vertebrae,3,Achondroplasia; Lumbar puncture; Sciatica,Disease/Disorder; Disease/Condition
Vertigo,3,Labyrinthitis; Ménière’s disease; Nystagmus,Disease/Disorder; Disease/Condition
Virus,3,Adenovirus infections; HPV vaccination; Tropical spastic paraparesis,Disease/Disorder; Disease/Condition
Wiskott,3,"Lymphocytopenia; patients with Wilson disease. (Photo Researchers, Inc.); patients with Wilson disease. (Photo Researchers, Inc.)",Disease/Disorder
Withdrawal,3,Addiction; Alcoholism; dependence,Disease/Condition
Acetylcholine,2,Amnesia; Insecticide poisoning,Disease/Condition
Achalasia,2,Esophageal function tests; Esophageal pouches,Diagnostic Test; Disease/Condition
Acidosis,2,Fanconi’s syndrome; Hypernatremia,Disease/Disorder; Disease/Condition
Acupressure,2,Seizure disorder; Shiatsu,Disease/Disorder; Disease/Condition
Acupuncture,2,Seizure disorder; Smoking cessation drugs,Disease/Disorder; Drug/Medication
Acute,2,Bronchitis; Reiter’s syndrome,Disease/Disorder; Disease/Condition
Adhesions,2,Endometriosis; Scar revision surgery,Disease/Condition; Surgical Procedure
Adjuvant,2,Antibiotic resistance; Whooping cough,Disease/Condition
Aerobic bacteria,2,Aminoglycosides; Flesh-eating disease,Disease/Disorder; Disease/Condition
Allergic reaction,2,Dermatitis; family history of eczema and/or allergies.,Disease/Condition
Allergic rhinitis,2,Deviated septum; Leukotriene inhibitors are often called leukotriene:,Disease/Disorder; Disease/Condition
Alveoli,2,Chlamydial pneumonia; Fibrosis,Disease/Condition
Amenorrhea,2,Galactorrhea; Prolactin test,Diagnostic Test; Disease/Condition
Amino acids,2,Albinism; Hartnup disease,Disease/Disorder; Disease/Condition
Aminoaciduria,2,"G A LE EN CY C LO PE DI A O F ME D IC I NE , 5 T H E DI T IO N; Hartnup disease",Disease/Disorder; Disease/Condition
Amnesia,2,Concussion; Dissociative disorders,Disease/Disorder; Disease/Condition
Amniotic fluid,2,Alpha-fetoprotein (AFP) test; Antenatal testing,Diagnostic Test
Anaerobic bacteria,2,Aminoglycosides; Flesh-eating disease,Disease/Disorder; Disease/Condition
Analgesic,2,Debridement; Shiatsu,Disease/Condition
Anaphylactic shock,2,Latex allergy; Shortness of breath,Disease/Condition
Androgens,2,Acne; Polycystic ovary syndrome,Disease/Disorder; Disease/Condition
Anesthesiologist,2,Appendectomy; Parathyroidectomy,Surgical Procedure
Angioedema,2,Antihypertensive drugs; Steroids,Disease/Disorder; Drug/Medication
Angiogram,2,Heart valve repair; Radiology,Disease/Disorder; Disease/Condition
Angiography,2,"Hemoptysis; Pancreatic cancer, endocrine",Cancer/Oncological; Disease/Condition
Angioplasty,2,Obesity and surgery; Thallium heart scan,Diagnostic Test; Surgical Procedure
Angiotensin,2,enzyme inhibitors; enzyme inhibitors,Disease/Condition
Anti,2,Acne; Pseudogout,Disease/Condition
Antibiotics,2,Acne; Contact dermatitis,Disease/Condition
Anticoagulants,2,Embolism; Heart valve replacement,Disease/Condition
Antidote,2,Intestinal disorders; Poisoning,Diagnostic Test; Disease/Condition
Antiemetic,2,Appendicitis; Marijuana,Disease/Condition
Antigens,2,"Q fever; in China.’’ PLoS One 8, no. 8 (August 2013):e72606.",Disease/Disorder; Disease/Condition
Antiseptic,2,Intrauterine device; Wound care,Disease/Condition
Antitoxin,2,Diphtheria; Serum sickness,Disease/Condition
Anus,2,Antihelminthic drugs; Crohn’s disease,Disease/Disorder; Drug/Medication
Anxiety,2,Antianxiety drugs; Cocaine and related disorders,Disease/Disorder; Drug/Medication
Appendectomy,2,Appendicitis; General surgery,Disease/Condition; Surgical Procedure
Arbovirus,2,Chikungunya; Dengue fever,Disease/Condition
Areola,2,Breastfeeding problems; Lactation,Disease/Disorder; Disease/Condition
Aromatherapy,2,Fatigue; Guided imagery,Disease/Condition
Arteries,2,enzyme inhibitors; Antihypertensive drugs,Drug/Medication; Disease/Condition
Arthralgia,2,Chikungunya; Ross River Virus,Disease/Condition
Arthroscope,2,Arthroscopic surgery; 2001): 909–932.,Disease/Condition; Surgical Procedure
Asana,2,Hatha yoga; Yoga,Disease/Condition
Aseptic,2,Prevention; Polio,Disease/Disorder; Disease/Condition
Aspirin,2,Pneumococcal pneumonia; Reye syndrome,Disease/Disorder; Disease/Condition
Atrium,2,arteries; Tricuspid valve insufficiency,Disease/Condition
Autosomal dominant,2,telangiectasia; Tourette syndrome,Disease/Disorder
Axon,2,Sensory integration disorder; Tourette syndrome,Disease/Disorder
Bacillus,2,developing countries because of lack of access to hospitals and treatment.; Diphtheria,Disease/Condition
Bacteria,2,"Antibiotics, topical; Urinary anti-infectives",Disease/Condition
Bacteriuria,2,Cystitis; Urine culture,Disease/Condition
Barium,2,Esophageal function tests; Intussusception,Diagnostic Test; Disease/Condition
Benign,2,Gamma Knife surgery; Keratosis pilaris,Disease/Condition; Surgical Procedure
Benzodiazepines,2,Night terrors; Withdrawal syndromes,Disease/Disorder; Disease/Condition
Bipolar disorder,2,Schizoaffective disorder; Sexual addiction,Disease/Disorder; Disease/Condition
Bismuth,2,Stool culture; Janis O. Flores,Disease/Condition
Blood,2,Caffeine; Meningitis,Disease/Condition
Brain stem,2,Polio; Progressive supranuclear palsy,Disease/Condition
Bruxism,2,Antiparkinson drugs; Toothache,Drug/Medication; Disease/Condition
Bubo,2,Chancroid; Lymphogranuloma venereum,Disease/Condition
Bulimia nervosa,2,Adolescent nutrition; Binge eating disorder,Disease/Disorder; Nutrition/Diet
Cannula,2,Dacryocystitis; Laparoscopy,Disease/Condition; Surgical Procedure
Cardiac arrhythmia,2,Hypokalemia; Stress test,Diagnostic Test; Disease/Condition
Cardiomyopathy,2,"Therapy/lasers (accessed December 9, 2014).; Mucopolysaccharidoses",Alternative Therapy; Disease/Condition
Cardiovascular,2,acids; Tai chi,Disease/Condition
Catalyst,2,Galactosemia; Pyruvate kinase deficiency,Disease/Disorder; Disease/Condition
Cataract,2,Amblyopia; Nystagmus,Disease/Condition
Catheterization,2,Peyronie’s disease; Venous access,Disease/Disorder; Disease/Condition
Chlamydia,2,Nongonococcal urethritis; Proctitis,Disease/Condition
Cilia,2,Situs inversus; Whooping cough,Disease/Condition
Circadian rhythm,2,Intermittent fasting; Diseases/SleepApnea/SleepApnea_WhatIs.html.,Disease/Disorder; Disease/Condition
Circumcision,2,Balanitis; Female genital mutilation,Disease/Condition
Cleft palate,2,lung disease.; Velopharyngeal insufficiency,Disease/Disorder; Disease/Condition
Clitoris,2,Female genital mutilation; Female orgasmic disorder,Disease/Disorder; Disease/Condition
Cognitive,2,Binge eating disorder; Vegetative state,Disease/Disorder; Disease/Condition
Collagen,2,Osteoarthritis; Osteogenesis imperfecta,Disease/Condition
Colposcopy,2,DES exposure; Vulvodynia,Disease/Condition
Coma,2,Liver encephalopathy; Mental status examination,Disease/Condition
Contraception,2,Safe sex; Tubal ligation,Disease/Condition
Corpora cavernosa,2,Erectile dysfunction treatment; Peyronie’s disease,Disease/Disorder; Drug/Medication
Corticosteroid,2,Atopic dermatitis; Threadworm infection,Disease/Disorder; Disease/Condition
Creatine,2,Blood urea nitrogen test; Steroids,Diagnostic Test; Disease/Disorder
Creatinine,2,Blood urea nitrogen test; Enlarged prostate,Diagnostic Test; Disease/Condition
Creutzfeldt,2,Creatinine test; Creatinine test,Diagnostic Test
Cross,2,Gallbladder cancer; Withdrawal syndromes,Disease/Disorder; Cancer/Oncological
Cryosurgery,2,Colposcopy; Keloids,Disease/Condition; Surgical Procedure
Cutaneous,2,"Diphtheria; default.htm (accessed December 9, 2014).",Disease/Condition
Cutaneous T,2,Cutaneous larva migrans; Cutaneous larva migrans,Disease/Condition
Cystoscopy,2,Bladder cancer; Prostatectomy,Cancer/Oncological; Surgical Procedure
Cytokines,2,"general, unrelated to AIDS.; Diseases/SleepApnea/SleepApnea_WhatIs.html.",Disease/Disorder; Disease/Condition
DNA,2,Albinism; intent,Disease/Condition
DTaP,2,Pneumonia vaccine; Whooping cough,Disease/Condition
Deep vein thrombosis,2,Embolism; Pulmonary embolism,Disease/Condition
Dehydration,2,Gastroenteritis; Intravenous rehydration,Disease/Condition
Delirium,2,Amnesia; disorder,Disease/Disorder; Disease/Condition
Delusion,2,Memory loss; Mental status examination,Disease/Condition
Dental caries,2,Dental sealant; Toothache,Disease/Condition
Dentin,2,teeth during sleep; Tooth decay,Disease/Condition
Depo,2,"New York: Marlowe & Company, 2005.; New York: Marlowe & Company, 2005.",Disease/Condition
Dermatitis,2,Atopic dermatitis; family history of eczema and/or allergies.,Disease/Condition
Dermis,2,Basal cell carcinoma; Flesh-eating disease,Disease/Disorder; Cancer/Oncological
Dialysis,2,Alport syndrome; Yellow fever,Disease/Disorder; Disease/Condition
Dissection,2,Anatomy; Aortic dissection,Disease/Condition
Diverticulum,2,Colostomy; Peritonitis,Disease/Condition; Surgical Procedure
Down syndrome,2,Alpha-fetoprotein (AFP) test; High-risk pregnancy,Diagnostic Test; Disease/Condition
Dry socket,2,Impacted tooth; Tooth extraction,Disease/Condition
Dyana,2,Hatha yoga; Yoga,Disease/Condition
Dysphoria,2,Tourette syndrome; Withdrawal syndromes,Disease/Disorder
Electrocardiography,2,Heart valve replacement; Myocardial biopsy,Diagnostic Test; Disease/Condition
Electrosurgical device,2,Laparoscopy; Sigmoidoscopy,Surgical Procedure
Emboli,2,Embolism; Pulmonary embolism,Disease/Condition
Endocarditis,2,"default.htm (accessed December 9, 2014).; Ventricular septal defect",Disease/Disorder; Disease/Condition
Endocrine system,2,Precocious puberty; Puberty,Disease/Condition
Endotracheal tube,2,Lung biopsy; Thyroid biopsy,Diagnostic Test
Enteral nutrition,2,Anti cancer diet; Enterostomy,Cancer/Oncological; Surgical Procedure
Epidermis,2,Basal cell carcinoma; Toxic epidermal necrolysis,Cancer/Oncological; Disease/Condition
Epididymis,2,Hydrocelectomy; Testicular self-examination,Diagnostic Test; Surgical Procedure
Epididymitis,2,Hydrocelectomy; Vasectomy,Surgical Procedure
Epidural anesthesia,2,I Dilatation and curettage; Myomectomy,Disease/Condition; Surgical Procedure
Erythropoietin,2,Anemias; Kidney dialysis,Disease/Condition
Eschar,2,Debridement; Scrub typhus,Disease/Condition
Estrogens,2,Acne; Polycystic ovary syndrome,Disease/Disorder; Disease/Condition
Extraction,2,Dental trauma; Impacted tooth,Disease/Condition
Familial polyposis,2,Enterostomy; Ostomy,Surgical Procedure
Fat,2,Vitamin E; Vitamin K,Nutrition/Diet
Feces,2,Stool culture; Janis O. Flores,Disease/Condition
Femur,2,digestive tracts.; Osteomyelitis,Disease/Condition
Fibromyalgia,2,Magnetic field therapy; Tai chi,Alternative Therapy; Disease/Condition
Fissure,2,Diabetic foot infections; Digital rectal examination,Disease/Disorder; Disease/Condition
Flaccid,2,Polio; Postpolio syndrome,Disease/Disorder; Disease/Condition
Flavivirus,2,West Nile virus; Yellow fever,Disease/Condition
Fluoroscope,2,Catheter ablation; taken.,Disease/Condition
Free radical,2,Antioxidants; Purpose,Disease/Condition
Free radicals,2,Photodynamic therapy; Vitamin E,Drug/Medication; Nutrition/Diet
Fulminant,2,Fecal transplant; Hepatitis B,Disease/Condition
Gastroenteritis,2,Adenovirus infections; Salmonella food poisoning,Disease/Disorder; Disease/Condition
Glomerulonephritis,2,Kidney dialysis; Statistics Reports. 2013. http://www.plasticsurgery.org/,Disease/Condition; Surgical Procedure
Gluten,2,Glucose-6-phosphate dehydrogenase deficiency; Glucose-6-phosphate dehydrogenase deficiency,Disease/Disorder
Goiter,2,Parathyroid scan; • chronic lymphocytic thyroiditis,Diagnostic Test; Disease/Condition
Gonadotropins,2,Precocious puberty; Puberty,Disease/Condition
Gonorrhea,2,Cephalosporins; Nongonococcal urethritis,Disease/Condition
Gram stain,2,Prevention; cultures,Disease/Disorder; Disease/Condition
Groin,2,Chancroid; Genital herpes,Disease/Condition
Haptoglobin,2,Haptoglobin test; Protein electrophoresis,Diagnostic Test; Disease/Condition
Hematocrit,2,Anemias; Iron deficiency anemia,Disease/Disorder; Disease/Condition
Hemolysis,2,"Aortic valve replacement; Hepatitis, alcoholic",Disease/Condition
Hemolytic,2,Hemolytic-uremic syndrome; Throat culture,Disease/Disorder; Disease/Condition
Hepatitis,2,Bites and stings; Hepatitis B,Disease/Condition
Histrionic,2,"Gambling disorder; Times (October 22, 2001): A1.",Disease/Disorder; Disease/Condition
Host,2,Leishmaniasis; Yellow fever,Disease/Condition
Humerus,2,Osteomyelitis; Tommy John surgery,Disease/Condition; Surgical Procedure
Hydrocele,2,Circumcision; Hydrocelectomy,Disease/Disorder; Surgical Procedure
Hymen,2,Sexual abuse; Vulvodynia,Disease/Condition
Hyperbaric oxygen therapy,2,"Flesh-eating disease; monoxide (CO), a colorless, odorless gas, is produced",Disease/Disorder; Disease/Condition
Hypercalcemia,2,Pseudogout; Vitamin toxicity,Nutrition/Diet; Disease/Condition
Hypersomnia,2,Risks; Depressive disorders,Disease/Disorder; Disease/Condition
Hyperthyroidism,2,Antispasmodic drugs; Thyroid function tests,Diagnostic Test; Drug/Medication
Hypertrophy,2,Athletic heart syndrome; Enlarged prostate,Disease/Disorder; Disease/Condition
Hypothalamic,2,Precocious puberty; Puberty,Disease/Condition
Hypothalamus,2,Anxiety; Puberty,Disease/Condition
Hypothyroidism,2,Pseudogout; Thyroid function tests,Diagnostic Test; Disease/Condition
Hypoxia,2,Aviation medicine; Ventricular fibrillation,Disease/Condition
Ileum,2,Enterostomy; Ostomy,Surgical Procedure
Immune response,2,Contact dermatitis; Monoclonal antibodies,Disease/Condition
Immunosuppressive therapy,2,Aplastic anemia; Legionnaires’ disease,Disease/Disorder
Immunotherapy,2,Bladder cancer; Provenge (sipuleucel-T),Cancer/Oncological; Disease/Condition
Incubation period,2,H1N1 influenza A; Hepatitis E,Disease/Condition
Insufflation,2,Laparoscopy; Myringotomy and ear tubes,Surgical Procedure
Insulin resistance,2,Intermittent fasting; Polycystic ovary syndrome,Disease/Disorder; Disease/Condition
Interferon,2,Ascites; Ebola,Disease/Condition
Intestine,2,Colostomy; Enemas,Disease/Condition; Surgical Procedure
Intravenous,2,Intravenous rehydration; Intravenous urography,Disease/Condition
Intubation,2,Hemoptysis; Obesity and surgery,Disease/Condition; Surgical Procedure
Isotretinoin,2,Acne; Dermabrasion,Disease/Condition
Jejunum,2,Enterostomy; Tube feedings,Disease/Condition; Surgical Procedure
"KEY TERMS
Antibody",2,Prostate-specific antigen test; Threadworm infection,Diagnostic Test; Disease/Disorder
Kegel exercises,2,Female orgasmic disorder; procedure,Disease/Disorder; Disease/Condition
Ketoacidosis,2,"Dukan diet; Leukemias, chronic",Cancer/Oncological; Nutrition/Diet
Kinesiology,2,Bursitis; Physiology,Disease/Condition
Labia majora,2,Female genital mutilation; Vulvodynia,Disease/Condition
Labor,2,Placenta previa; Placental abruption,Disease/Condition
Laceration,2,Fingertip injuries; Wounds,Disease/Condition
Lactation,2,Breastfeeding problems; Lactation,Disease/Disorder; Disease/Condition
Lactose,2,Galactosemia; Low-carbohydrate diets,Nutrition/Diet; Disease/Condition
Laser,2,"(PRK); Procedures. 2nd ed. New York: Thieme, 2009.",Disease/Condition
Latch,2,Breastfeeding problems; Lactation,Disease/Disorder; Disease/Condition
Latex,2,Isolation; Latex allergy,Disease/Condition
Left ventricle,2,2013).; Pulmonary edema,Disease/Condition
Leukemia,2,Leukemia stains; Myocardial biopsy,Diagnostic Test; Cancer/Oncological
Lipid,2,Lipase test; Stool fat test,Diagnostic Test
Low,2,Low back pain; Low sugar diet,Nutrition/Diet; Disease/Condition
Lymph node,2,Lumpectomy; Pediatric leukemia,Cancer/Oncological; Surgical Procedure
Lymphedema,2,Cancer survivorship issues; Physical therapy,Alternative Therapy; Cancer/Oncological
Lymphoma,2,Epstein-Barr virus; Neurosurgery,Disease/Condition; Surgical Procedure
Malabsorption,2,Gastric bypass; Stool fat test,Diagnostic Test; Disease/Condition
Mandible,2,Maxillofacial trauma; Obstructive sleep apnea,Disease/Condition
Manometry,2,Esophageal pouches; Esophageal spasm,Disease/Condition
Mast cells,2,Allergic rhinitis; Allergy tests,Diagnostic Test; Disease/Condition
Melatonin,2,Seasonal affective disorder; Diseases/SleepApnea/SleepApnea_WhatIs.html.,Disease/Disorder
Meninges,2,Neurosurgery; West Nile virus,Disease/Condition; Surgical Procedure
Menopause,2,Bone disorder drugs; Endometriosis,Drug/Medication; Disease/Condition
Metastasize,2,Laryngeal cancer; Radical neck dissection,Cancer/Oncological; Disease/Condition
Methotrexate,2,Lactation; Scar revision surgery,Disease/Condition; Surgical Procedure
Mood disorder,2,Insomnia; Schizoaffective disorder,Disease/Disorder; Disease/Condition
Morphology,2,Anatomy; Semen analysis,Disease/Condition
Motor neuron,2,Muscle spasms and cramps; Polio,Disease/Condition
Mucin,2,Dental sealant; Tooth decay,Disease/Condition
Multiple sclerosis,2,Hearing loss; Lumbar puncture,Disease/Condition
Myasthenia gravis,2,Antispasmodic drugs; Polydactyly and syndactyly,Disease/Disorder; Drug/Medication
Myelin,2,Ménière’s disease; Paralysis,Disease/Disorder; Disease/Condition
NSAIDs,2,Anaphylaxis; oligohydramnios,Disease/Condition
Nasopharynx,2,"Nasopharyngeal culture; Times (October 22, 2001): A1.",Disease/Condition
Necrosis,2,www.usdoj.gov/dea/concern/steroids.html; Flesh-eating disease,Disease/Disorder; Disease/Condition
Neovascularization,2,Macular degeneration; Retinopathies,Disease/Condition
Neurogenic,2,Stuttering; Thoracic outlet syndrome,Disease/Disorder; Disease/Condition
Neurologic,2,Aldolase test; Polio,Diagnostic Test; Disease/Condition
Nonsteroidal anti,2,Antiulcer drugs; Mastitis,Drug/Medication; Disease/Condition
Norms,2,Minimally invasive surgery; Psychological tests,Diagnostic Test; Surgical Procedure
Notifiable disease,2,"default.htm (accessed December 9, 2014).; Mosquito-borne disease",Disease/Disorder; Disease/Condition
Obsession,2,Anxiety disorders; Mental status examination,Disease/Disorder; Disease/Condition
Obsessive,2,Bulimia nervosa; Sexual addiction,Disease/Condition
Occlusion,2,Bruxism; Malocclusion,Disease/Condition
Orphan drug,2,Photodynamic therapy; Polycythemia vera,Drug/Medication; Disease/Condition
Orthotics,2,Osteopathy; Physical therapy,Alternative Therapy; Disease/Condition
Osteomalacia,2,Gluten-free diet; Men’s nutrition,Disease/Disorder; Nutrition/Diet
Oxytocin,2,Antenatal testing; Infant massage,Diagnostic Test; Alternative Therapy
Palliative,2,Photodynamic therapy; Tumor removal,Drug/Medication; Cancer/Oncological
Panic attack,2,Anxiety disorders; Cocaine and related disorders,Disease/Disorder
Pap smear,2,DES exposure; Hysterectomy,Disease/Condition; Surgical Procedure
Papule,2,Acne; Yaws,Disease/Condition
Paralysis,2,Polio; Postpolio syndrome,Disease/Disorder; Disease/Condition
Paresthesia,2,Autoimmune disorders; Gulf War syndrome,Disease/Disorder
Parkinsonism,2,Antiparkinson drugs; Concussion,Drug/Medication; Disease/Condition
Patch test,2,Dermatitis; family history of eczema and/or allergies.,Disease/Condition
Peptic ulcer,2,Gastrinoma; Mastitis,Disease/Condition
Percussion,2,Empyema; Physical examination,Disease/Condition
Perinatal,2,High-risk pregnancy; TORCH test,Diagnostic Test; Disease/Condition
Perineum,2,Penile prostheses; Vulvodynia,Disease/Condition
Peristalsis,2,Esophageal spasm; Vagotomy,Disease/Condition; Surgical Procedure
Peritoneum,2,Hernia repair; Peritonitis,Disease/Condition
Pernicious anemia,2,Gastric acid determination; Tapeworm diseases,Disease/Disorder; Disease/Condition
Phalanx,2,Fingertip injuries; Mallet finger,Disease/Condition
Phobia,2,Antianxiety drugs; Anxiety,Drug/Medication; Disease/Condition
Photophobia,2,Color blindness; Meningitis,Disease/Condition
Pica,2,Anemias; Lead poisoning,Disease/Condition
Pleura,2,damage a part of the lung so that it leaks fluid.; Thymoma,Disease/Condition
Pneumothorax,2,Lung biopsy; Venous access,Diagnostic Test; Disease/Condition
Porphyria,2,Anticonvulsant drugs; Sulfonamides,Drug/Medication; Disease/Condition
Porphyrin,2,Anticonvulsant drugs; Sulfonamides,Drug/Medication; Disease/Condition
Postpartum,2,Breastfeeding problems; Lactation,Disease/Disorder; Disease/Condition
Pranayama,2,Hatha yoga; Yoga,Disease/Condition
Pregnancy category,2,vomiting; Antihypertensive drugs,Drug/Medication; Disease/Condition
Prepuce,2,Circumcision; Female genital mutilation,Disease/Disorder; Disease/Condition
Priapism,2,Erectile dysfunction treatment; Priapism,Drug/Medication; Disease/Condition
Process addiction,2,Addiction; Internet addiction disorder,Disease/Disorder; Disease/Condition
Prophylactic,2,Safe sex; Urinary catheterization,Disease/Condition
Prophylaxis,2,Cephalosporins; Face transplantation,Disease/Condition
Prosthesis,2,Orthodontics; Physical therapy,Alternative Therapy; Disease/Condition
Protein,2,Protein electrophoresis; Protein electrophoresis,Disease/Condition
Pseudomembranous colitis,2,Fecal transplant; Probiotics,Disease/Condition
Psychopathology,2,Minimally invasive surgery; Psychological tests,Diagnostic Test; Surgical Procedure
Puberty,2,Adolescent nutrition; Precocious puberty,Nutrition/Diet; Disease/Condition
Pulmonary embolus,2,Arthroscopy; Prostatectomy,Surgical Procedure
Purine,2,Gout; Uric acid tests,Diagnostic Test; Disease/Condition
Radiation therapy,2,Bone sarcoma; Soft tissue sarcoma,Cancer/Oncological
