node_id,node_type,label,definition,body_systems,severity,age_groups,icd_category,is_contagious,inheritance
P01597,Procedure,Infant massage,"Infant massage refers to massage therapy as specifically applied to infants. In most cases, oil or lotion is used as it would be on an adult subject by a trained and licensed massage therapist. Medical professionals caring for infants might also use massage techniques on infants born prematurely, on",gastrointestinal; musculoskeletal,,Infants; Adults/Elderly,Z-codes,,
P01598,Procedure,Laminectomy,"A laminectomy is a surgical procedure in which the surgeon removes a portion of the bony arch, or lamina, on the dorsal surface of a vertebra, which is one of the bones that make up the human spinal column. It is done to relieve back pain that has not been helped by more conservative treatments. In ",neurological; gastrointestinal; musculoskeletal; renal,,All ages,Z-codes,,
P01599,Procedure,Laparoscopy,"Laparoscopy, sometimes also called laparoscopic (LAP) surgery, is a minimally invasive procedure that uses a thin, lighted tube (laparoscope) to visualize internal organs. Laparoscopy is most commonly used during surgery on the abdominal and pelvic organs but may also be used for surgery of the thor",neurological,,All ages,Z-codes,,
P01600,Procedure,Laryngectomy,"A laryngectomy is the partial or complete surgical removal of the voice box (larynx). Purpose Because of its location, the voice box, or larynx, plays a critical role in breathing, swallowing, and speaking. The larynx is located above the windpipe (trachea) and in front of the food pipe (esophagus).",respiratory; musculoskeletal; oncological,,All ages,Z-codes,,
P01601,Procedure,Statistics Reports. 2013. http://www.plasticsurgery.,"The term ‘‘laser’’ means light amplification by stimulated emission of radiation. Laser surgery uses a laser light source to remove or treat tissues that are diseased or unwanted, to seal blood vessels that are bleeding, or to terminate tumors or lesions. Laser beams are strong beams of light produc",neurological; dermatological; reproductive; infectious,,All ages,Z-codes,,
P01602,Procedure,"Therapy/lasers (accessed December 9, 2014).","Late effects of childhood cancer treatment may be defined as any adverse effect of treatment that does not resolve after treatment is completed or which appears after the completion of the treatment for cancer. Late effects can include adverse effects on major organ systems, problems with cognitive ",neurological; immunological; psychiatric; hematological,,Children; Adolescents; Adults/Elderly,Z-codes,,
P01603,Procedure,Lumpectomy,Lumpectomy is a type of surgery for breast cancer. It is considered ‘‘breast-conserving’’ surgery because only the malignant tumor and a surrounding margin of normal breast tissue are removed. Lymph nodes in the armpit (axilla) may also be removed. This procedure is also called lymph node dissection,endocrine; psychiatric; oncological,,All ages,Z-codes,,
P01604,Procedure,Lung surgery,Aftercare No special aftercare is needed. The patient may resume normal activities immediately. The patient may be asked to consume increased amounts of fluids (unless contraindicated because of a medical condition) for one to two days after the procedures to help speed up the elimination of the rad,respiratory; dermatological; hematological; oncological,,All ages,Z-codes,,
P01605,Procedure,Magnetic field therapy,Magnetic therapy is the use of magnets to relieve pain in various areas of the body. Purpose Some of the benefits that magnetic therapy claims to provide include: pain relief reduction of swelling  improved tissue alkalinization   3150 more restful sleep increased tissue oxygenation  relief of s,musculoskeletal; hematological,,All ages,Z-codes,,
P01606,Procedure,Mastectomy,Mastectomy is the surgical removal of part or all of a breast—and sometimes additional tissue—for the,musculoskeletal; dermatological; oncological,,All ages,Z-codes,,
P01607,Procedure,Mediastinoscopy,"Mediastinoscopy is a surgical procedure that enables physicians to view areas of the mediastinum, the cavity behind the sternum (breastbone) that lies between the lungs. The organs in the mediastinum include the heart and its vessels; lymph nodes; and the trachea, esophagus, and thymus. Mediastinosc",cardiovascular; respiratory; gastrointestinal; musculoskeletal,,All ages,Z-codes,,
P01608,Procedure,Minimally invasive surgery,"Minimally invasive surgery is an alternative to open surgery. The technique uses no cuts or small cuts (incisions). The surgeon uses a small scope and tiny instruments to perform the same types of operations as with traditional open surgery, but without the long incision. Purpose Use of small incisi",respiratory; gastrointestinal; musculoskeletal; dermatological,,All ages,Z-codes,,
P01609,Procedure,Modified radical mastectomy,"A modified radical mastectomy is a surgical procedure that removes the breast, surrounding tissue, and nearby lymph nodes affected by cancer. Purpose The purpose of modified radical mastectomy is the removal of breast cancer (abnormal cells in the breast that grow rapidly and replace normal healthy ",musculoskeletal; oncological,,All ages,Z-codes,,
P01610,Procedure,Movement therapy,"Movement therapy refers to a broad range of Eastern and Western movement approaches used to promote physical, mental, emotional, and spiritual well-being. Purpose The physical benefits of movement therapy include greater ease and range of movement, increased balance, strength and flexibility, improv",cardiovascular; respiratory; neurological; musculoskeletal,,All ages,Z-codes,,
P01611,Procedure,Myomectomy,"Myomectomy is the removal of fibroids (noncancerous tumors) from the wall of the uterus. Myomectomy is the preferred treatment for symptomatic fibroids in women who want to keep their uterus. Larger fibroids must be removed with an abdominal incision, but small fibroids can be taken out using laparo",neurological; musculoskeletal; dermatological; reproductive,,All ages,Z-codes,,
P01612,Procedure,Myringotomy and ear tubes,"Myringotomy is a surgical procedure in which a small incision is made in the eardrum (the tympanic membrane), usually in both ears. The English word is 3513 Myringotomy and ear tubes A group of researchers in Houston, Texas, reported in 2004 that they had successfully developed a technique for detec",renal; oncological,,Children,Z-codes,,
P01613,Procedure,Nephrectomy,"A nephrectomy is a surgical procedure for the removal of a kidney (radical nephrectomy) or a section of a kidney (partial nephrectomy, also known as nephron-sparing surgery). Purpose Primary prevention begins with addressing the",musculoskeletal; endocrine; renal; hematological,,All ages,Z-codes,,
P01614,Procedure,Neurosurgery,Neurosurgery is a specialized field of surgery for the treatment of diseases or conditions of the central nervous system (CNS) and spine.,neurological,,All ages,Z-codes,,
P01615,Procedure,Obesity and surgery,"Obesity increases the risk for various chronic conditions, such as diabetes and heart disease, that can lead to complications requiring surgery. Obesity may also increase the risk of complications during and after surgery. On the other hand, being overweight or obese",cardiovascular; gastrointestinal; endocrine,,All ages,Z-codes,,
P01616,Procedure,Occupational therapy,"Occupational therapy (OT) is a holistic, patientcentered, occupation-based approach to life-skills development for people with developmental disabilities, physical or mental diseases, injuries, or other health problems. Occupational therapy addresses physical, psychological, social, and environmenta",psychiatric,,Children; Adults/Elderly,Z-codes,,
P01617,Procedure,Oophorectomy,"Unilateral oophorectomy (also called an ovariectomy) is the surgical removal of an ovary. If one ovary is removed, a woman may continue to menstruate and have children. If both ovaries are removed, a procedure called a bilateral oophorectomy, menstruation stops and a woman loses the ability to have ",musculoskeletal; reproductive; oncological,,Infants; Children,Z-codes,,
P01618,Procedure,Orthopedic surgery,"Orthopedic (sometimes spelled orthopaedic) surgery is an operation performed by a medical specialist such as an orthopedist or orthopedic surgeon, who is trained to assess and treat problems that develop in the bones, joints, and ligaments of the human body.",neurological; musculoskeletal,,All ages,Z-codes,,
P01619,Procedure,Ostomy,"A surgical procedure creating an opening in the body for the discharge of body wastes. Purpose Certain diseases of the bowel or urinary tract involve removing all or part of the intestine or bladder. This creates a need for an alternate way for feces or urine to leave the body. To fill that need, an",gastrointestinal; musculoskeletal; renal; oncological,,All ages,Z-codes,,
P01620,Procedure,Pancreatectomy,"A pancreatectomy is the surgical removal of the pancreas. A pancreatectomy may be total, in which case the entire organ is removed, usually along with the spleen, gallbladder, common bile duct, and portions of the small intestine and stomach. A pancreatectomy may also be distal, meaning that only th",cardiovascular; gastrointestinal; endocrine; renal,,All ages,Z-codes,,
P01621,Procedure,Parathyroidectomy,"Parathyroidectomy is the removal of one or more parathyroid glands. A person usually has four parathyroid glands, although the exact number may vary from three to seven. The glands are located in the neck, in front of the Adam’s apple, and are closely linked to the thyroid gland. The parathyroid gla",endocrine,,All ages,Z-codes,,
P01622,Procedure,Parotidectomy,"Parotidectomy is the removal of the parotid gland, a salivary gland near the ear. Purpose The main purpose of parotidectomy is to remove cancerous tumors in the parotid gland. A number of tumors can develop in the parotid gland. Many of these are tumors that have spread from other areas of the body,",neurological; musculoskeletal; endocrine; oncological,,All ages,Z-codes,,
